name,parliamentary_constituency,latt_long,network,county,region,needs
Exmouth,East Devon,"50.62137,-3.412179",Independent,Devon,South West,"['Instant Coffee', 'Tinned Meats', 'Fruit Squash/juice', 'Packets Of Instant Potatoes', 'Cartons Of Longlife Milk', 'Tinned Tomatoes', 'Tinned Vegetables ( Peas, Sweetcorn, Beans, Mixed)', 'Pasta Sauce', 'Nappies - Size 4', 'Bags For Life ', 'Easter Eggs']"
Selby Centre,Tottenham,"51.607453,-0.079029",IFAN,Greater London,London,
Bradford on Avon,Chippenham,"51.34786,-2.25155",Trussell Trust,Wiltshire,South West,
Shoreline,Southport,"53.647662,-2.998556",IFAN,Lancashire,North West,
East Grinstead,Mid Sussex,"51.134048,-0.014008",Trussell Trust,East Sussex,South East,
Wells Storehouse,Wells,"51.202102,-2.661376",Independent,Somerset,South West,
Faversham,Faversham and Mid Kent,"51.316132,0.885211",Trussell Trust,Kent,South East,
Newcastle West End,Newcastle upon Tyne Central,"54.973904,-1.674248",Trussell Trust,Northumberland,North East,"['Jam', 'Tinned Fruit', 'Tinned Fish', 'Milk (UHT Or Powdered)', 'Fruit Juice (Long Life)', 'Cereal', 'Bags Of Rice (50g)', 'Tinned Potatoes', 'Pasta Sauce', 'Toilet Rolls', 'Toiletries']"
Margate,North Thanet,"51.387908,1.384173",Independent,Kent,South East,
Caistor,Gainsborough,"53.49737,-0.316727",Independent,Lincolnshire,Yorkshire & Humber,
ReadiFood,Reading East,"51.437313,-0.973021",IFAN,Berkshire,South East,"['Tinned Ready Meals (Hot Dogs, Curry)', 'Tinned Vegetables', 'Tinned Fruit', 'Nappies Size 6', 'Tinned Ready Meals', 'Tinned Fish', 'Baked Beans', 'Cereal Bars', 'Pot Noodles (Or Equivalent)', 'Tinned Meat', 'Tinned Vegetables', 'Tinned/instant Potatoes', 'Tinned Fruit', 'Baby Toiletries (Not Wipes)', 'Dried Pulses', 'Dried Lentils', 'Long Life Milk', 'Squash', 'Honey']"
Mexborough,Doncaster North,"53.495603,-1.299367",Independent,South Yorkshire,Yorkshire & Humber,
Corsham Churches,Chippenham,"51.43259,-2.189411",Independent,Wiltshire,South West,
Kinson & West Howe,Bournemouth West,"50.771195,-1.903857",Trussell Trust,Dorset,South West,"['UHT Milk', 'Jam', 'Sugar (Small Packets)', 'Noodles', 'Puddings', 'Crisps', 'Male & Female Deodorant', 'Toilet Rolls', 'Adult Toothbrushes', 'Tinned Mixed Beans', 'Tinned Custard', 'Tinned Carrots', 'Tinned Sweetcorn', 'UHT Milk', 'Coffee (Large Or Small)', 'Squash', 'Fruit Juice', 'Curry Sauce', 'Shampoo', 'Male & Female Deodorant', 'Toilet Rolls', 'Washing Up Liquid', 'Feminine Hygiene', 'Incontinence Pads']"
Ystradgynlais,Brecon and Radnorshire,"51.766817,-3.772477",IFAN,Wales,Wales,
Hartlepool,Hartlepool,"54.686212,-1.206674",Trussell Trust,North Yorkshire,Yorkshire & Humber,
Wyre Forest,Wyre Forest,"52.396144,-2.270263",IFAN,Worcestershire,West Midlands,
Didcot,Wantage,"51.605417,-1.254187",Independent,Oxfordshire,South East,
Wellingborough & District,Wellingborough,"52.302302,-0.696844",IFAN,Northamptonshire,East Midlands,
Lisburn,Lagan Valley,"54.5121205,-6.0454864",Trussell Trust,Northern Ireland,Northern Ireland,"['Custard', 'Pure Apple & Orange Juice', 'Diluting Juice', 'Herbs, Spices & Stock Cubes', 'Tinned Ravioli', 'Stir-in Pasta & Curry Sauces', 'Washing Powder (Small Boxes)']"
Hope Kitchen,Argyll and Bute,"56.410063,-5.469899",Independent,Scotland,Scotland,
Storehouse North Down,North Down,"54.6427912,-5.6707321",IFAN,Northern Ireland,Northern Ireland,
Stow Park Community Centre,Newport West,"51.583827,-3.004418",IFAN,Wales,Wales,
Penryn & Falmouth,Truro and Falmouth,"50.170144,-5.103803",Trussell Trust,Cornwall,South West,"['Tinned Carrots', 'Tinned Potatoes', 'Noodles', 'Small Tins Of Meat', 'Small Tins Of Corned Beef', 'Long Life Milk', 'Small Jars Of Coffee', 'Tinned Tomatoes', 'Toilet Rolls', 'Washing Up Liquid', 'Wet Cat Food', 'Fruit Squash', 'Porridge', 'Long Grain Rice', 'Strong Carrier Bags', 'Dry Dog Food', 'Washing Up Liquid', 'Toilet Rolls', 'Shower Gel', 'Shampoo', 'Shaving Foam', 'Meat Soup', 'Sweets/chocolate', 'Jars Of Coffee', 'Long Life Milk', 'Savoury Snacks/crisps', 'Jam/marmalade', 'Tinned Hot Dogs', 'Tinned Meat Balls', 'Microwave Rice Meals', 'Microwave Pasta Meals', 'Noodles', 'Tinned Tomatoes']"
Central Southwark Community Hub,Camberwell and Peckham,"51.474245,-0.087167",IFAN,Greater London,London,
Helston & Lizard,St Ives,"50.101636,-5.273228",Trussell Trust,Cornwall,South West,
Food4U,Sutton Coldfield,"52.563825,-1.824317",IFAN,West Midlands,West Midlands,
Nantwich,Crewe and Nantwich,"53.06821,-2.520597",Trussell Trust,Cheshire,West Midlands,
Isle of Wight,Isle of Wight,"50.752745,-1.304028",Trussell Trust,Hampshire,South East,"['Long Life Milk', 'Tinned Spaghetti', 'Tinned Soup', 'Tinned Fruit', 'Rice Pudding']"
Eilean Siar,Na h-Eileanan an Iar,"58.208206,-6.389227",Independent,Scotland,Scotland,
Coalville,North West Leicestershire,"52.724293,-1.376315",Trussell Trust,Leicestershire,East Midlands,
Brixham,Totnes,"50.392409,-3.514904",Independent,Devon,South West,
Morecambe Bay,Morecambe and Lunesdale,"54.0675878,-2.8739386",Trussell Trust,Lancashire,North West,
Strettons,Ludlow,"52.5374,-2.8095244",IFAN,Shropshire,West Midlands,
Wokingham,Wokingham,"51.410403,-0.834767",Trussell Trust,Berkshire,South East,"['Cold Meat', 'Coffee', 'Preserves (Jam, Marmalade Etc)', 'Longlife Milk', 'Tinned Fruit', 'Pasta Sauce', 'Fruit Juice/squash', 'Custard', ""Tea (40's)"", 'Snacks And Instant Noodles', 'Soap', 'Toothbrushes (Adult And Children’s)', 'Toothpaste (Adult And Children’s)', 'Washing Up Liquid', 'Anti-bacterial Cleaner', 'Small Packs Of Washing Powder/liquid', 'Deodorants (Men’s And Women’s)']"
Leslie Community Pantry,Glenrothes,"56.2041808,-3.2125984",Independent,Scotland,Scotland,
Leighton-Linslade Helpers,South West Bedfordshire,"51.9178592,-0.6566645",Independent,Bedfordshire,East,
Burnage,"Manchester, Withington","53.429494,-2.201526",Trussell Trust,Greater Manchester,North West,
Luton,Luton South,"51.885267,-0.409843",Independent,Bedfordshire,East,
Perth and Kinross,Perth and North Perthshire,"56.397177,-3.432048",Trussell Trust,Scotland,Scotland,
Whitefoot and Downham,Lewisham East,"51.43329,0.00651",IFAN,Greater London,London,
High Peak,High Peak,"53.257428,-1.910217",IFAN,Derbyshire,West Midlands,
Totnes Connection Hub,Totnes,"50.435131,-3.682406",Independent,Devon,South West,
Arden,Stratford-on-Avon,"52.214221,-1.873067",Trussell Trust,Warwickshire,West Midlands,"['Tinned Potatoes', 'Tinned Fruit', 'Jam', 'Coffee', 'Pot Noodles', 'Chocolates/sweets']"
Swansea,Gower,"51.668197,-4.038563",Trussell Trust,Wales,Wales,
Poitiers Care,New Forest West,"50.845059,-1.787847",IFAN,Dorset,South West,
Bexley,Eltham,"51.445,0.084763",Trussell Trust,Greater London,London,
Strabane,West Tyrone,"54.82647189999999,-7.4658731",Trussell Trust,Northern Ireland,Northern Ireland,
Quinton & Oldbury,"Birmingham, Edgbaston","52.452182,-1.98324",Trussell Trust,Worcestershire,West Midlands,
Crediton,Central Devon,"50.79093,-3.661209",Independent,Devon,South West,
Burton upon Trent YMCA,Burton,"52.799408,-1.637761",IFAN,Staffordshire,West Midlands,
Wisbech,North East Cambridgeshire,"52.665781,0.161026",Trussell Trust,Cambridgeshire,East,
North Cotswold,The Cotswolds,"51.921256,-1.862942",Trussell Trust,Gloucestershire,South West,
Waveney,Central Suffolk and North Ipswich,"52.339162,1.133067",Trussell Trust,Suffolk,East,
Hunstanton and District,North West Norfolk,"52.940733,0.490203",Trussell Trust,Norfolk,East,
Asylum Link Merseyside,"Liverpool, Wavertree","53.403453,-2.954037",IFAN,Merseyside,North West,
St Helens,St Helens North,"53.457235,-2.7439",Trussell Trust,Merseyside,North West,
South Ayrshire,Central Ayrshire,"55.506856,-4.604586",Trussell Trust,Scotland,Scotland,
Godmanchester,Huntingdon,"52.319746,-0.171038",Trussell Trust,Cambridgeshire,East,
Cambridge City,Cambridge,"52.231808,0.1516",Trussell Trust,Cambridgeshire,East,
Walker & District,Newcastle upon Tyne East,"54.973965,-1.544912",Trussell Trust,Tyne and Wear,North East,
Finchley,Finchley and Golders Green,"51.595272,-0.170838",Independent,Greater London,London,
Newham,East Ham,"51.515917,0.053163",IFAN,Greater London,London,
Uttlesford,Saffron Walden,"52.019882,0.254194",Trussell Trust,Essex,East,
Droylsden and District,Ashton-under-Lyne,"53.480155,-2.144026",Trussell Trust,Greater Manchester,North West,
Newtownards,Strangford,"54.5992872,-5.70515",Trussell Trust,Northern Ireland,Northern Ireland,
Rukhsana Khan Foundation,Walthamstow,"51.587553,-0.022226",Independent,Greater London,London,
Gleadless Valley,"Sheffield, Heeley","53.343392,-1.447529",Trussell Trust,South Yorkshire,Yorkshire & Humber,
FEED,St Albans,"51.747995,-0.303066",IFAN,Hertfordshire,East,
One Vision,Watford,"51.683495,-0.392282",Independent,Hertfordshire,East,
North Ayrshire,North Ayrshire and Arran,"55.643379,-4.811222",Trussell Trust,Scotland,Scotland,
Ledbury,North Herefordshire,"52.0368643,-2.4230797",IFAN,Gloucestershire,South West,
Aylesbury Vineyard Storehouse,Aylesbury,"51.817024,-0.823747",IFAN,Buckinghamshire,South East,
Stafford and Surrounds Community,Stafford,"52.805329,-2.117482",Independent,Staffordshire,West Midlands,
Thetford,South West Norfolk,"52.405622,0.740588",Trussell Trust,Norfolk,East,
Vale of Neath,Neath,"51.74708,-3.622033",Trussell Trust,Wales,Wales,
Selby & District,Selby and Ainsty,"53.783008,-1.07051",Trussell Trust,East Riding of Yorkshire,Yorkshire & Humber,
Petersfield,East Hampshire,"51.006956,-0.939849",Independent,Hampshire,South East,
Blaenau Gwent,Blaenau Gwent,"51.797429,-3.2079",Trussell Trust,Wales,Wales,
Craigavon Area,Upper Bann,"54.4535662,-6.4140462",Trussell Trust,Northern Ireland,Northern Ireland,
Swindon,South Swindon,"51.561857,-1.817784",Independent,Wiltshire,South West,
Chard,Yeovil,"50.873022,-2.961747",Independent,Dorset,South West,
Llanelli,Llanelli,"51.6794764,-4.1554628",Trussell Trust,Wales,Wales,
Right Choices,Leeds North West,"53.820302,-1.5778201",Independent,West Yorkshire,Yorkshire & Humber,
Seaton,Tiverton and Honiton,"50.7071761,-3.0726781",Independent,Devon,South West,
West Berks,Newbury,"51.4020143,-1.3253897",Trussell Trust,Berkshire,South East,"['Pasta Sauce', 'UHT Long Life Milk', 'Tinned Meat/meat Meals', 'Baked Beans/tinned Spaghetti', 'Tinned Soup', 'Sponge Puddings (Not Chilled)', 'Cooking Oil', 'Tinned Custard', 'Tinned Vegetables', 'Stock Cubes Meat Or Veg', 'Tinned Tomatoes', 'Long Life Juice', 'Tinned Fruit', 'Rice (500g/1kg)', 'Shower Gel', 'Cooking Oil', 'Tinned Fish', 'Sugar (500g/1kg)', 'Baby Food', 'Instant Mash', 'Dried Milk', 'Tinned Rice Pudding', 'UHT Long Life Milk', 'Baked Beans/tinned Spaghetti', 'Tinned Meat/meat Meals', 'Tinned Soup', 'Pasta Sauce', 'Sponge Puddings - Not Chilled', 'Cooking Oil', 'Tinned Custard', 'Tinned Vegetables', 'Stock Cubes Meat Or Veg', 'Tinned Tomatoes', 'Long Life Juice', 'Tinned Fruit', 'Rice (500g/1kg)', 'Shower Gel', 'Cooking Oil', 'Tinned Fish', 'Sugar (500g)', 'Baby Food', 'Instant Mash', 'Baked Beans/tinned Spaghetti', 'Cooking Oil', 'Pasta Sauce', 'Sponge Puddings - Not Chilled', 'Tinned Soup', 'Tinned Custard', 'Tinned Fish', 'Tinned Meat/meat Meals', 'Stock Cubes Meat Or Veg', 'Tinned Tomatoes', 'Long Life Juice', 'Tinned Fruit', 'Tinned Vegetables', 'Shower Gel', 'UHT Long Life Milk']"
Newport,Newport West,"51.60288620000001,-3.003052",Trussell Trust,Wales,Wales,
Elim Maldon,Maldon,"51.728541,0.682118",IFAN,Essex,East,
Hambleton Foodshare,Richmond (Yorks),"54.340666,-1.435648",IFAN,North Yorkshire,Yorkshire & Humber,
Caerphilly,Caerphilly,"51.575259,-3.224984",Trussell Trust,Wales,Wales,
Covent Garden,Holborn and St Pancras,"51.513744,-0.125724",Independent,Greater London,London,
Brechin Community Pantry,Angus,"56.732508,-2.659757",IFAN,Scotland,Scotland,
Birmingham Central,"Birmingham, Ladywood","52.481834,-1.910415",Trussell Trust,West Midlands,West Midlands,
Plymouth,"Plymouth, Sutton and Devonport","50.3707091,-4.1543097",Trussell Trust,Devon,South West,
Melvin Hall Community Centre,Lewisham West and Penge,"51.4110354,-0.05745749999999999",IFAN,Greater London,London,
West End Impact,Morecambe and Lunesdale,"54.0469971,-2.892556",IFAN,Lancashire,North West,
Holsworthy,Torridge and West Devon,"50.81119,-4.35354",Independent,Cornwall,South West,
Community Emergency (Oxford),Witney,"51.829335,-1.349959",Independent,Oxfordshire,South East,
Bounds Green,Hornsey and Wood Green,"51.59974589999999,-0.1137402",IFAN,Greater London,London,
Red Trust Bushey,Hertsmere,"51.6451846,-0.3675675",Independent,Hertfordshire,East,
Pie N Mash,"Lewisham, Deptford","51.47423329999999,-0.04727199999999999",Independent,Greater London,London,
SLRA,Streatham,"51.4356545,-0.124917",Independent,Greater London,London,
The Hive,Islington North,"51.5710884,-0.123229",IFAN,Greater London,London,
Taff Bargoed,Caerphilly,"51.651264,-3.287197",Trussell Trust,Wales,Wales,"['Cooking Pasta Sauces', 'Tinned Curry', 'Meatballs', ""Hot Dog's"", 'Jam', 'Peanut Butter', 'Choc Spread', 'Chocolate Snack Bars', 'Sweets', 'Tinned Fruit', 'Custard', 'Rice Pudding', 'Squash', 'Juice', 'UHT Milk', 'Tinned Veg', 'Potatoes', 'Microwave Rice', 'Pot Noodles', 'Tea', 'Coffee', 'Sugar', 'Soap', 'Toilet Roll', 'Toiletries', 'Sanitary Products', 'Wash Up Liquid', 'Jay Cloths', 'Toilet Cleaner', 'Multi Purpose Spray', 'Easter Eggs', 'Treats']"
Kings,Westmorland and Lonsdale,"54.325356,-2.748061",Independent,Cumbria,North West,
Lincoln Community Larder,Lincoln,"53.228854,-0.533731",IFAN,Lincolnshire,Yorkshire & Humber,
Cardiff,Cardiff South and Penarth,"51.4766009,-3.1537532",Trussell Trust,Wales,Wales,"['Microwaveable Rice', 'Tinned Fruit', 'Fruit Juice (Long Life) 1 Litre', 'Squash (1 Litre Bottles)', 'Instant Coffee (Small Jars)', 'Sponge Puddings', 'Microwaveable Pasta', 'Custard', 'Milk (UHT Long Life 1 Litre)', 'Savoury Snacks (Crisps, Crackers Etc)', 'Rice Pudding', 'Chocolate Bars', 'Antibacterial Spray/bleach', 'Shampoo/conditioner', 'Deodorant']"
Highway Vineyard Church,West Ham,"51.54321,0.011631",Independent,Greater London,London,
Sawtry,North West Cambridgeshire,"52.433042,-0.276825",Independent,Cambridgeshire,East,
Conwy,Clwyd West,"53.29319,-3.726264",Independent,Wales,Wales,
Bassetlaw,Bassetlaw,"53.29778109999999,-1.1077017",Independent,Derbyshire,West Midlands,"['Wet Dog Food', 'Tinned Peas', 'Instant Mash', 'Toilet Roll', 'Tinned Fruit', 'Tuna', 'Other Tinned Fish', 'Custard', 'Rice Pudding', 'Tinned Pasta With Meat', 'Long-life Milk']"
Himmah,Nottingham East,"52.963338,-1.169719",IFAN,Nottinghamshire,East Midlands,
Hearts and Hands Stafford,Stafford,"52.7937077,-2.1290574",Independent,Staffordshire,West Midlands,
Bishop's Stortford,Hertford and Stortford,"51.86846540000001,0.16031",IFAN,Essex,East,
Manchester Central,Manchester Central,"53.46471349999999,-2.2315115",Trussell Trust,Greater Manchester,North West,
Smethwick,Warley,"52.4949136,-1.9721693",Trussell Trust,West Midlands,West Midlands,
North Liverpool,"Liverpool, Walton","53.433666,-2.93209",Trussell Trust,Merseyside,North West,
West Lothian,Livingston,"55.9066524,-3.5752546",Trussell Trust,Scotland,Scotland,"['Tinned Potatoes', 'Tinned Meat (Cold)', 'Tinned Fruit', 'Veg Stock Cubes', 'Curry Sauce', 'Custard', 'Juice (1l + 1.5l)']"
Clevedon District,North Somerset,"51.43443449999999,-2.8640145",Trussell Trust,Somerset,South West,
Eastleigh Basics Bank,Eastleigh,"50.967473,-1.3532161",Independent,Hampshire,South East,"['Corned Beef', 'Tinned Ham', 'Spam', 'Instant Meals (Pot Noodles, Pasta Sauces Etc)', 'Cook In Sauce Jars', 'Tinned Fish (Tuna, Sardines, Mackerel)', 'Tinned Fruit (Peaches, Fruit Salad, Grapefruit Etc)', 'Desserts (Rice Pudding, Custard, Angel Delight, Sponge Puddings, Jelly Etc)', 'Sugar', 'Long Grain Rice (Traditional And Microwave)', 'Dried Spaghetti', 'Coffee', 'Squash', 'Loo Rolls', 'Shampoo', 'Deodorant', 'Toothpaste', 'Toothbrushes', 'Baby Wipes', 'Drinking Chocolate', 'Feminine Hygiene Products (Sanitary Towels And Tampons)', 'Nappies (Sizes 4+, 5+ And 6+)', 'Washing Up Liquid', 'Dog Food']"
Colindale,Hendon,"51.601445,-0.238786",Trussell Trust,Greater London,London,
Sherborne,West Dorset,"51.00605220000001,-2.4785679",IFAN,Dorset,South West,
Sevenoaks,Sevenoaks,"51.28326370000001,0.1955545",Independent,Kent,South East,"['Rice', 'Baked Beans', 'Chicken In White Sauce', 'Beef Chilli Con Carne', 'Tinned Rice Pudding', 'Tinned Custard', 'Breakfast Cereals (But Not Rice Crispies)', 'Squash', 'Rice', 'Tinned Garden Peas', 'Tinned Carrots', 'Baked Beans', 'Baked Beans With Sausages', 'Chicken In White Sauce', 'Vegetarian Meals (Tinned)', 'Macaroni Cheese (Tinned)', 'Tinned Rice Pudding', 'Tinned Custard', 'Breakfast Cereals (But Not Cornflakes)', 'Pasta Sauces', 'Rice Sauces', 'Mayonnaise', 'Tomato Ketchup', 'Fruit Squash', 'Toilet Paper', 'Toiletries, Especially Men’s Grooming Products']"
Tottenham,Tottenham,"51.5872187,-0.0725467",Trussell Trust,Greater London,London,"['Long Life Juice - 1 Litre Only', 'Long Life Milk - 1 Litre Only', 'Snacks - Crisps, Nuts, Dried Fruit Etc.', 'Meat Soup', 'Tinned Rice Pudding/ Tinned Custard', 'Tinned Fruit', 'Chocolate And Sweets', 'Toothbrushes And Toothpaste', 'Shower Gel', 'Shampoo', 'Shaving Foam', 'Toilet Roll', 'Washing Up Liquid']"
Feltham,Feltham and Heston,"51.4539528,-0.4042092",Independent,Greater London,London,
Rugeley,Cannock Chase,"52.758204,-1.938468",Trussell Trust,Staffordshire,West Midlands,
Lewisham,"Lewisham, Deptford","51.4429457,-0.0443393",Trussell Trust,Greater London,London,
Portland,South Dorset,"50.560669,-2.443731",Independent,Dorset,South West,
Braintree Area,Braintree,"51.8764468,0.5639101",Trussell Trust,Essex,East,"['Shampoo', 'Long Life Juice (1 Litre Maximum)', 'Instant Mashed Potato', 'Packet Soup', 'Tinned Spaghetti', 'Tea Bags (80 Maximum)', 'Strong Carrier Bags, Please.', 'Tinned Tomatoes', 'Tinned Veg', 'Sponge Pudding (Twin Pack)', 'Sugar (Small Bag, Please)', 'Tinned Cold Meat', 'Laundry Detergent (Liquid Or Tabs, Please)', 'Jam', 'Longlife Milk (1 Litre, Please)', 'Coffee']"
Littlehampton & District,Bognor Regis and Littlehampton,"50.8083426,-0.5367136",Trussell Trust,West Sussex,South East,"['Tin Openers', 'Rice Pudding & Custard', 'Tinned Tomatoes', 'Instant Coffee', 'Tinned Fruit', 'UHT Milk', 'Sugar', 'Hot Chocolate', 'Shower Gel & Shampoo', 'Strong Carrier Bags']"
Doorstep,Great Grimsby,"53.5646531,-0.0697846",Independent,Lincolnshire,Yorkshire & Humber,
Thurrock,South Basildon and East Thurrock,"51.5233832,0.4558437",Trussell Trust,Essex,East,
Oswestry and Borders,North Shropshire,"52.8618061,-3.0520168",Trussell Trust,Shropshire,West Midlands,
Merthyr Cynon,Merthyr Tydfil and Rhymney,"51.7619268,-3.384312",Trussell Trust,Wales,Wales,
Doncaster,Doncaster Central,"53.5549052,-1.0824909",Trussell Trust,South Yorkshire,Yorkshire & Humber,
Hammersmith & Fulham,Chelsea and Fulham,"51.4689184,-0.1904887",Trussell Trust,Greater London,London,
Middlewich & District,Congleton,"53.189173,-2.439082",Trussell Trust,Cheshire,West Midlands,
Crowborough,Wealden,"51.0530571,0.1611676",Trussell Trust,East Sussex,South East,
Hinckley Area,Bosworth,"52.5440641,-1.3877352",Trussell Trust,Leicestershire,East Midlands,
King's Lynn,North West Norfolk,"52.7509214,0.3937462",Trussell Trust,Norfolk,East,"['Small Boxes Of Washing Powder', 'Tinned Rice Pudding Or Custard', 'Deodorant', 'Soup', 'Instant Noodles', 'Size 4 Nappies', 'Conditioner', 'Chocolates And Treats', 'Sauces - Ketchup, BBQ, Mayonnaise']"
Food For Families Penzance,St Ives,"50.1282967,-5.5421035",Independent,Cornwall,South West,
Sutton,Carshalton and Wallington,"51.36288649999999,-0.1725485",Trussell Trust,Greater London,London,"['Long Life Fruit Juice', 'Tinned Meat', 'Tinned Fruit', 'Shower Gel', 'Shampoo & Conditioner', 'Toothpaste & Brushes']"
Gainsborough,Gainsborough,"53.3999087,-0.7749999999999999",Independent,Lincolnshire,Yorkshire & Humber,
Runnymede,Runnymede and Weybridge,"51.3910198,-0.5049049999999999",Trussell Trust,Surrey,South East,"['Long Life Juice', 'Coffee', 'Bottle Of Squash', 'Shaving Foam', 'Sponge Pudding', 'Tinned Custard', 'Jar Of Pasta Sauce', 'Pack Of Instant Noodles', 'Anti Bacterial Spray', 'Jam']"
Stretford,Stretford and Urmston,"53.4449015,-2.3140155",Trussell Trust,Greater Manchester,North West,"['Tinned Salmon', 'Tinned Ham', 'Jam', 'Tinned Fruit', 'Gravy Mix', 'Tinned Custard', 'Stuffing', 'Tinned Evaporated Milk', 'Trifle Mix', 'Jelly', 'Pickles / Cranberry Etc', 'Crisps /Savoury Biscuits /Crackers', 'Box Of Biscuits / Tin Of Biscuits', 'Box Of Chocolates / Mint Chocolates', 'Selection Boxes', 'Mince Pies', 'Chocolate Biscuits', 'Nibbles/nuts', 'Shortbread', 'Small Treats And Snacks For Kids', 'Dog & Cat Pet Food']"
Kingston,Kingston and Surbiton,"51.3818117,-0.2817604",Trussell Trust,Greater London,London,
Aberdeenshire North,Gordon,"57.2770753,-2.3716413",Trussell Trust,Scotland,Scotland,"['UHT Milk', '1ltr Fruit Juice', 'Instant Mash', 'Packets Of Pasta Sauce', ""Tinned Vegetable's"", 'Shampoo', 'Toothpaste', 'Deodorant', 'Tinned Potatoes', 'Dog Food']"
PATCH,Preseli Pembrokeshire,"51.7129966,-5.0342118",IFAN,Wales,Wales,
Hillingdon,Uxbridge and South Ruislip,"51.5445377,-0.4824201999999999",Trussell Trust,Greater London,London,
Hill Street Baptist Church,South Derbyshire,"52.7719524,-1.552838",Independent,Derbyshire,West Midlands,
Euston,Holborn and St Pancras,"51.5285006,-0.1314033",Trussell Trust,Greater London,London,
Neath,Neath,"51.66214069999999,-3.803733",Trussell Trust,Wales,Wales,
Glasgow SW,Glasgow Central,"55.8496776,-4.3019907",Trussell Trust,Scotland,Scotland,
Hereford,Hereford and South Herefordshire,"52.0585685,-2.7116404",Independent,Herefordshire,West Midlands,
